product_id,product_name,category,sub_category,brand,mrp,weight_kg,warranty_years,launch_date
PRD00001,Samsung Galaxy S24,Mobiles,Flagship,Samsung,89032,23.41,1,2021-11-20
PRD00002,Samsung Galaxy S24 (128GB),Mobiles,Flagship,Samsung,75947,9.64,1,2022-10-18
PRD00003,Samsung Galaxy S24 (256GB),Mobiles,Flagship,Samsung,69399,23.41,1,2020-11-16
PRD00004,Samsung Galaxy M14,Mobiles,Budget,Samsung,15120,12.04,1,2020-12-16
PRD00005,Samsung Galaxy M14 (128GB),Mobiles,Budget,Samsung,14607,17.97,3,2023-05-28
PRD00006,Samsung Galaxy M14 (256GB),Mobiles,Budget,Samsung,15804,3.05,1,2023-06-05
PRD00007,Samsung Galaxy A55,Mobiles,Mid-range,Samsung,39145,3.14,2,2021-06-27
PRD00008,Samsung Galaxy A55 (128GB),Mobiles,Mid-range,Samsung,37117,17.18,1,2019-01-24
PRD00009,Samsung Galaxy A55 (256GB),Mobiles,Mid-range,Samsung,33668,20.65,1,2021-03-30
PRD00010,Apple iPhone 15,Mobiles,Flagship,Apple,75906,11.52,1,2021-04-20
PRD00011,Apple iPhone 15 (128GB),Mobiles,Flagship,Apple,70240,22.97,1,2022-11-03
PRD00012,Apple iPhone 15 (256GB),Mobiles,Flagship,Apple,85625,2.85,1,2024-03-09
PRD00013,Apple iPhone 14,Mobiles,Flagship,Apple,60661,7.17,3,2023-01-18
PRD00014,Apple iPhone 14 (128GB),Mobiles,Flagship,Apple,72553,2.75,2,2024-03-13
PRD00015,Apple iPhone 14 (256GB),Mobiles,Flagship,Apple,60358,16.29,2,2022-03-30
PRD00016,OnePlus Nord 4,Mobiles,Mid-range,OnePlus,30451,22.44,3,2019-02-25
PRD00017,OnePlus Nord 4 (128GB),Mobiles,Mid-range,OnePlus,31228,3.66,1,2023-06-12
PRD00018,OnePlus Nord 4 (256GB),Mobiles,Mid-range,OnePlus,33883,5.04,1,2023-09-27
PRD00019,OnePlus 11R,Mobiles,Mid-range,OnePlus,37310,1.0,2,2019-01-11
PRD00020,OnePlus 11R (128GB),Mobiles,Mid-range,OnePlus,35042,1.39,3,2022-02-25
PRD00021,OnePlus 11R (256GB),Mobiles,Mid-range,OnePlus,42840,6.04,3,2020-06-30
PRD00022,Xiaomi Redmi Note 13,Mobiles,Budget,Xiaomi,21246,1.53,2,2023-03-02
PRD00023,Xiaomi Redmi Note 13 (128GB),Mobiles,Budget,Xiaomi,21840,19.33,3,2023-05-27
PRD00024,Xiaomi Redmi Note 13 (256GB),Mobiles,Budget,Xiaomi,20490,20.97,1,2019-03-18
PRD00025,Realme Narzo 70,Mobiles,Budget,Realme,15824,3.21,1,2022-08-18
PRD00026,Realme Narzo 70 (128GB),Mobiles,Budget,Realme,16017,18.66,1,2022-04-12
PRD00027,Realme Narzo 70 (256GB),Mobiles,Budget,Realme,14343,3.96,3,2023-03-26
PRD00028,Vivo V29,Mobiles,Mid-range,Vivo,33407,4.91,1,2020-05-29
PRD00029,Vivo V29 (128GB),Mobiles,Mid-range,Vivo,29598,24.51,2,2022-11-24
PRD00030,Vivo V29 (256GB),Mobiles,Mid-range,Vivo,32668,1.46,1,2022-03-16
PRD00031,Oppo Reno 11,Mobiles,Mid-range,Oppo,30025,22.12,1,2021-05-21
PRD00032,Oppo Reno 11 (128GB),Mobiles,Mid-range,Oppo,34257,4.41,1,2019-06-24
PRD00033,Oppo Reno 11 (256GB),Mobiles,Mid-range,Oppo,34621,24.5,1,2022-01-29
PRD00034,Google Pixel 8,Mobiles,Flagship,Google,66877,19.62,1,2022-04-24
PRD00035,Google Pixel 8 (128GB),Mobiles,Flagship,Google,73090,3.71,1,2020-04-16
PRD00036,Google Pixel 8 (256GB),Mobiles,Flagship,Google,74190,7.6,1,2022-01-03
PRD00037,Dell Inspiron 15,Laptops,Mainstream,Dell,51600,16.27,2,2021-04-21
PRD00038,Dell Inspiron 15 (128GB),Laptops,Mainstream,Dell,58049,3.8,1,2021-08-23
PRD00039,Dell Inspiron 15 (256GB),Laptops,Mainstream,Dell,54053,11.91,1,2019-09-03
PRD00040,HP Pavilion 14,Laptops,Mainstream,HP,51787,3.44,3,2020-06-12
PRD00041,HP Pavilion 14 (128GB),Laptops,Mainstream,HP,51400,10.75,1,2023-02-01
PRD00042,HP Pavilion 14 (256GB),Laptops,Mainstream,HP,59164,15.9,3,2021-02-21
