order_item_id,order_id,product_id,quantity,unit_price,discount_pct,total_amount
ORDITM00000001,ORD0000001,PRD00009,3,33668,0,101004.0
ORDITM00000002,ORD0000001,PRD00104,2,3036,0,6072.0
ORDITM00000003,ORD0000001,PRD00045,1,60375,5,57356.25
ORDITM00000004,ORD0000002,PRD00121,2,2059,10,3706.2
ORDITM00000005,ORD0000002,PRD00054,1,90934,0,90934.0
ORDITM00000006,ORD0000002,PRD00011,2,70240,0,140480.0
ORDITM00000007,ORD0000003,PRD00026,2,16017,10,28830.6
ORDITM00000008,ORD0000003,PRD00109,1,15933,5,15136.35
ORDITM00000009,ORD0000003,PRD00008,2,37117,10,66810.6
ORDITM00000010,ORD0000004,PRD00098,1,11038,0,11038.0
ORDITM00000011,ORD0000004,PRD00067,3,54044,30,113492.4
ORDITM00000012,ORD0000005,PRD00050,2,49389,0,98778.0
ORDITM00000013,ORD0000006,PRD00126,1,36714,0,36714.0
ORDITM00000014,ORD0000006,PRD00013,3,60661,5,172883.85
ORDITM00000015,ORD0000006,PRD00112,2,5342,10,9615.6
ORDITM00000016,ORD0000007,PRD00110,2,5028,15,8547.6
ORDITM00000017,ORD0000007,PRD00031,1,30025,0,30025.0
ORDITM00000018,ORD0000007,PRD00015,2,60358,15,102608.6
ORDITM00000019,ORD0000008,PRD00123,1,1540,10,1386.0
ORDITM00000020,ORD0000008,PRD00077,1,37847,25,28385.25
ORDITM00000021,ORD0000009,PRD00090,1,41436,0,41436.0
ORDITM00000022,ORD0000010,PRD00135,1,3949,0,3949.0
ORDITM00000023,ORD0000010,PRD00053,3,76718,10,207138.6
ORDITM00000024,ORD0000011,PRD00072,1,46808,0,46808.0
ORDITM00000025,ORD0000012,PRD00068,1,153562,0,153562.0
ORDITM00000026,ORD0000013,PRD00089,1,51739,0,51739.0
ORDITM00000027,ORD0000013,PRD00138,2,12406,0,24812.0
ORDITM00000028,ORD0000013,PRD00118,1,89981,5,85481.95
ORDITM00000029,ORD0000014,PRD00137,1,2375,5,2256.25
ORDITM00000030,ORD0000014,PRD00021,1,42840,20,34272.0
ORDITM00000031,ORD0000014,PRD00028,2,33407,5,63473.3
ORDITM00000032,ORD0000015,PRD00114,2,1148,20,1836.8
ORDITM00000033,ORD0000015,PRD00045,2,60375,0,120750.0
ORDITM00000034,ORD0000015,PRD00131,3,32127,0,96381.0
ORDITM00000035,ORD0000016,PRD00122,1,2496,0,2496.0
ORDITM00000036,ORD0000017,PRD00097,1,1610,25,1207.5
ORDITM00000037,ORD0000017,PRD00083,1,39080,10,35172.0
ORDITM00000038,ORD0000017,PRD00079,1,33286,0,33286.0
ORDITM00000039,ORD0000018,PRD00134,1,1691,0,1691.0
ORDITM00000040,ORD0000018,PRD00016,1,30451,0,30451.0
ORDITM00000041,ORD0000018,PRD00083,1,39080,15,33218.0
ORDITM00000042,ORD0000019,PRD00129,1,28835,20,23068.0
ORDITM00000043,ORD0000019,PRD00049,2,45139,15,76736.3
ORDITM00000044,ORD0000019,PRD00004,3,15120,0,45360.0
ORDITM00000045,ORD0000020,PRD00130,1,30544,15,25962.4
ORDITM00000046,ORD0000020,PRD00145,2,39488,15,67129.6
ORDITM00000047,ORD0000021,PRD00021,2,42840,15,72828.0
ORDITM00000048,ORD0000021,PRD00051,1,52124,10,46911.6
ORDITM00000049,ORD0000022,PRD00045,2,60375,30,84525.0
