review_id,order_id,customer_id,product_id,rating,review_date,review_text
REV0000001,ORD0000006,CUST011590,PRD00112,5,2022-11-03,"Very happy with the purchase, works perfectly."
REV0000002,ORD0000007,CUST029769,PRD00110,4,2023-08-11,"Good product overall, minor issues."
REV0000003,ORD0000008,CUST026812,PRD00123,2,2026-01-01,Below expectations for the price paid.
REV0000004,ORD0000012,CUST013856,PRD00068,5,2022-05-20,"Excellent product, totally worth it!"
REV0000005,ORD0000014,CUST043451,PRD00137,5,2024-03-07,"Very happy with the purchase, works perfectly."
REV0000006,ORD0000017,CUST008048,PRD00097,4,2023-08-01,"Nice build quality, delivery was on time."
REV0000007,ORD0000019,CUST027494,PRD00129,5,2025-11-23,Great quality and fast delivery.
REV0000008,ORD0000020,CUST025370,PRD00130,5,2024-11-01,"Excellent product, totally worth it!"
REV0000009,ORD0000022,CUST048848,PRD00045,4,2021-06-12,"Value for money, satisfied with performance."
REV0000010,ORD0000023,CUST038770,PRD00143,4,2024-08-17,"Good product overall, minor issues."
REV0000011,ORD0000026,CUST010627,PRD00063,4,2022-04-05,"Good product overall, minor issues."
REV0000012,ORD0000027,CUST001480,PRD00035,3,2025-11-12,Decent but packaging could be better.
REV0000013,ORD0000031,CUST001222,PRD00060,4,2022-01-27,"Value for money, satisfied with performance."
REV0000014,ORD0000032,CUST015970,PRD00057,4,2024-10-13,"Good product overall, minor issues."
REV0000015,ORD0000033,CUST042950,PRD00002,4,2021-12-07,"Value for money, satisfied with performance."
REV0000016,ORD0000034,CUST024780,PRD00137,5,2025-11-20,"Best in this price range, highly recommend."
REV0000017,ORD0000036,CUST000989,PRD00036,5,2023-10-13,"Very happy with the purchase, works perfectly."
REV0000018,ORD0000038,CUST020404,PRD00094,5,2021-11-03,"Best in this price range, highly recommend."
REV0000019,ORD0000040,CUST027459,PRD00135,2,2023-05-26,Below expectations for the price paid.
REV0000020,ORD0000042,CUST018255,PRD00013,5,2021-10-20,"Very happy with the purchase, works perfectly."
REV0000021,ORD0000045,CUST027164,PRD00118,5,2025-06-07,"Best in this price range, highly recommend."
REV0000022,ORD0000046,CUST004560,PRD00092,5,2021-11-11,"Very happy with the purchase, works perfectly."
REV0000023,ORD0000047,CUST048061,PRD00143,4,2024-08-28,"Nice build quality, delivery was on time."
REV0000024,ORD0000052,CUST023112,PRD00112,4,2025-08-25,"Good product overall, minor issues."
REV0000025,ORD0000053,CUST035869,PRD00024,5,2022-11-12,"Very happy with the purchase, works perfectly."
REV0000026,ORD0000056,CUST013195,PRD00007,4,2024-04-09,"Value for money, satisfied with performance."
REV0000027,ORD0000058,CUST025361,PRD00071,2,2022-12-04,Below expectations for the price paid.
REV0000028,ORD0000059,CUST026696,PRD00096,4,2025-07-18,"Nice build quality, delivery was on time."
REV0000029,ORD0000062,CUST006082,PRD00077,3,2021-11-17,"Okay experience, expected a bit more."
REV0000030,ORD0000063,CUST024356,PRD00145,3,2025-08-31,"Okay experience, expected a bit more."
REV0000031,ORD0000064,CUST001766,PRD00124,4,2024-02-03,"Good product overall, minor issues."
REV0000032,ORD0000068,CUST007099,PRD00007,4,2025-01-12,"Value for money, satisfied with performance."
REV0000033,ORD0000069,CUST039197,PRD00125,3,2021-11-08,"Okay experience, expected a bit more."
REV0000034,ORD0000072,CUST010234,PRD00006,5,2024-04-19,"Best in this price range, highly recommend."
REV0000035,ORD0000074,CUST028638,PRD00017,4,2023-08-18,"Nice build quality, delivery was on time."
REV0000036,ORD0000075,CUST013057,PRD00140,3,2023-10-11,Decent but packaging could be better.
REV0000037,ORD0000076,CUST020511,PRD00016,3,2022-02-15,"Okay experience, expected a bit more."
REV0000038,ORD0000077,CUST019714,PRD00092,5,2023-11-21,"Best in this price range, highly recommend."
REV0000039,ORD0000078,CUST002278,PRD00046,4,2025-12-17,"Value for money, satisfied with performance."
REV0000040,ORD0000080,CUST034288,PRD00052,3,2025-11-24,Decent but packaging could be better.
REV0000041,ORD0000081,CUST006755,PRD00087,5,2021-11-08,Great quality and fast delivery.
REV0000042,ORD0000083,CUST012989,PRD00115,2,2024-05-11,Below expectations for the price paid.
REV0000043,ORD0000085,CUST002370,PRD00055,5,2023-04-23,"Best in this price range, highly recommend."
REV0000044,ORD0000088,CUST002463,PRD00020,3,2025-08-22,Decent but packaging could be better.
REV0000045,ORD0000089,CUST029862,PRD00029,4,2022-11-30,"Good product overall, minor issues."
